date,station,lat,lon,sst,anom,err,sst_roll_7d,sst_roll_14d,sst_roll_30d,sst_roll_90d,anom_roll_7d,anom_roll_14d,anom_roll_30d,sst_roc_3d,warm_degree_days_14d,above_avg
2023-12-16,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.729999542236328,1.1100000143051147,0.1599999964237213,13.474285398210798,13.574999673025948,13.59233299891154,14.57744411892361,0.77714284828731,0.7857142729418618,0.5879999885956446,0.12333329518636067,10.999999821186066,1
2023-12-17,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.59999942779541,1.0,0.1599999964237213,13.491428239004952,13.56928539276123,13.590999666849772,14.557110786437988,0.8199999928474426,0.8057142751557487,0.6129999885956446,0.07999992370605469,11.279999852180481,1
2023-12-18,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.559999465942383,0.9699999690055847,0.17000000178813934,13.497142519269671,13.565713950565883,13.582999674479167,14.533221891191271,0.8485714197158813,0.8264285581452506,0.6309999883174896,0.009999910990397135,11.569999814033508,1
2023-12-19,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.529999732971191,0.949999988079071,0.1599999964237213,13.524285316467285,13.556428228105817,13.573666350046794,14.508999665578207,0.8957142744745527,0.84071427157947,0.6469999879598618,-0.0666666030883789,11.76999980211258,1
2023-12-20,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.649999618530273,1.0799999237060547,0.17999999225139618,13.565713882446289,13.545713969639369,13.56533301671346,14.486777443355985,0.9542856982776097,0.8521428406238556,0.663333319624265,0.016666730244954426,11.929999768733978,1
2023-12-21,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.609999656677246,1.059999942779541,0.1599999964237213,13.601428168160576,13.536428247179304,13.55899969736735,14.463110775417752,1.0071428333009993,0.864285694701331,0.6816666513681412,0.016666730244954426,12.099999725818634,1
2023-12-22,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.59000015258789,1.0499999523162842,0.1599999964237213,13.609999656677246,13.530713966914586,13.554999701182048,14.437333001030815,1.03142854145595,0.8792856931686401,0.7013333171606064,0.020000139872233074,12.309999704360962,1
2023-12-23,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.549999237060547,1.0199999809265137,0.1599999964237213,13.58428532736642,13.52928536278861,13.5509996732076,14.40966633690728,1.0185713938304357,0.8978571210588727,0.7206666499376297,-0.03333346048990885,12.569999694824219,1
2023-12-24,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.4399995803833,0.9199999570846558,0.1599999964237213,13.561428206307548,13.52642822265625,13.546999677022297,14.3797774526808,1.0071428162711007,0.9135714045592717,0.7396666487058003,-0.05666669209798177,12.789999663829803,1
2023-12-25,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.269999504089355,0.7599999904632568,0.1599999964237213,13.519999640328544,13.508571079799108,13.540999666849773,14.347221904330784,0.9771428193364825,0.9128571195261819,0.7559999823570251,-0.10666688283284505,12.779999673366547,1
