week_start,station,sample_date,latitude,longitude,month,year,pda,temp,silicate,nitrate,avg_chloro,potential_bloom,sst_roll_14d,anom_roll_14d,sst_roc_3d,warm_degree_days_14d,above_avg,temp_lag1,temp_lag2,silicate_lag1,silicate_lag2,nitrate_lag1,nitrate_lag2,avg_chloro_lag1,avg_chloro_lag2,silicate_nitrate_ratio,isHarmful,station_id,wind_speed_mps,wave_height_m,dominant_period_s,mean_wave_dir_deg,atm_pressure_hpa,air_temp_c,sea_surface_temp_c
2026-02-02,Newport Beach Pier,2026-02-03 18:00:00,33.6061,-117.9311,2,2026,0.0,16.0,,,2.87,0,16.671428271702357,1.9714285475867135,0.04000027974446615,0.0,0.0,15.0,15.5,,,,,4.63,1.6,,0,46025,,,,,,,
2026-02-02,Santa Cruz Wharf,2026-02-04 16:00:00,36.958,-122.017,2,2026,0.057318,14.0,,,1.25,0,14.212142671857562,1.7378570948328291,0.026666641235351562,0.20577886369493115,1.0,14.0,13.9,,,,,1.44,1.96,,0,46042,,,,,,,
2026-02-02,Santa Monica Pier,2026-02-02 22:00:00,34.008,-118.499,2,2026,0.0,17.0,,,,0,,,,,0.0,17.0,17.0,,,,,,,,0,46025,,,,,,,
2026-02-02,Scripps Pier,2026-02-02 20:08:00,32.867,-117.257,2,2026,0.0,17.0,,,0.3,0,17.063571248735702,2.067857086658478,0.01999982198079427,0.04566641913519831,1.0,16.7,16.7,,,,,0.73,0.64,,0,46086,,,,,,,
2026-02-02,Stearns Wharf,2026-02-02 15:55:00,34.408043,-119.68485,2,2026,0.0,15.6,,,,0,16.199285439082555,2.154285660811833,0.046666463216145836,0.0,0.0,15.3,15.9,,,,,,,,0,46053,,,,,,,
2026-02-02,Trinidad Pier,2026-02-02 20:00:00,41.05495,-124.14696,2,2026,0.0,,,,,0,12.004999705723353,0.9035714098385402,-0.13666661580403647,0.4896670977274571,0.0,,,,,,,,,,0,46022,,,,,,,
2026-02-09,Bodega Marine Lab,2026-02-09 22:08:00,38.31613,-123.0705,2,2026,,14.0,,,,,13.384285381862096,1.4457142523356847,0.006666819254557292,2.325777763790553,1.0,13.9,13.3,,,,,,,,,46013,,,,,,,
2026-02-09,Monterey Wharf,2026-02-10 16:46:00,36.603683,-121.889275,2,2026,,14.3,,,,,14.427142551967076,1.893571376800537,-0.053333282470703125,0.17077833811441856,0.0,13.8,13.8,,,,,,,,,46042,,,,,,,
2026-02-09,Newport Beach Pier,2026-02-09 18:00:00,33.6061,-117.9311,2,2026,0.0,16.0,,,3.29,0,16.879999569484166,2.1999999369893755,0.013333002726236979,0.0,0.0,16.0,15.0,,,,,2.87,4.63,,0,46025,,,,,,,
2026-02-09,Santa Cruz Wharf,2026-02-11 16:30:00,36.958,-122.017,2,2026,0.018686,13.9,,,1.95,0,14.3135712487357,1.8764285360063826,-0.07999992370605469,0.22466817431979536,0.0,14.0,14.0,,,,,1.25,1.44,,0,46042,,,,,,,
2026-02-09,Santa Monica Pier,2026-02-09 20:30:00,34.008,-118.499,2,2026,0.0,18.0,,,,0,,,,,0.0,17.0,17.0,,,,,,,,0,46025,,,,,,,
2026-02-09,Scripps Pier,2026-02-09 20:17:00,32.867,-117.257,2,2026,0.0,17.5,,,0.52,0,17.206428391592844,2.234285661152431,-0.04999987284342448,0.26155476040310077,0.0,17.0,16.7,,,,,0.3,0.73,,0,46086,,,,,,,
2026-02-09,Stearns Wharf,2026-02-09 15:55:00,34.408043,-119.68485,2,2026,0.0,16.3,,,,0,16.27571392059326,2.2728570784841264,-0.0366668701171875,0.0,0.0,15.6,15.3,,,,,,,,0,46053,,,,,,,
