Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-09-08T19:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,0.0,345.0,0.0,1226.0,0.0,0.0,1266.0,0.0,0.0,304.0,208.0,3390.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-10-05T21:21:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0,0.0,4.0,0.0,266.0,0.0,0.0,123.0,0.0,116.0,22.0,7.0,546.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-11-29T23:35:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,195.0,25.0,0.0,1001.0,21.0,42.0,295.0,0.0,353.0,598.0,195.0,2726.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2024-01-29T21:52:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,7.0,62.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2024-03-18T19:50:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,93.0,868.0,0.0,0.0,0.0,39133.0,155.0,40248.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2024-05-16T18:30:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,124.0,101.0,0.0,0.0,0.0,13966.0,77.0,14268.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2024-08-28T21:19:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,29.0,22.0,0.0,18.0,5200.0,0.0,36.0,0.0,0.0,1749.0,130.0,7183.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2024-09-30T16:11:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,4.0,46.0,81.0,0.0,0.0,11301.0,0.0,4.0,23.0,39.0,11518.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-01-17T18:37:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,13.0,0.0,1949.0,0.0,0.0,15167.0,0.0,0.0,2603.0,51.0,19783.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-02-21T19:08:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,87.0,14.0,142.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-03-19T18:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,200.0,26.0,0.0,0.0,0.0,2610.0,17.0,2859.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-07-25T18:17:00Z,14.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,0.0,25.0,0.0,62.0,0.0,0.0,175.0,0.0,0.0,8277.0,162.0,8713.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-09-29T17:35:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0,0.0,4.0,0.0,26.0,4.0,0.0,95.0,0.0,0.0,25.0,34.0,193.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-10-29T18:12:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,352.0,54.0,0.0,1217.0,0.0,0.0,1605.0,0.0,108.0,20.0,14.0,3369.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2025-12-29T20:05:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2026-01-28T19:08:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,186.0,232.0,0.0,0.0,0.0,22092.0,0.0,22510.0
